,REF_DATE,GEO,Gender,Age group,VALUE
95,2020,Ontario,Total - gender,90 to 94 years,98548.0
96,2021,Ontario,Total - gender,90 to 94 years,102220.0
97,2022,Ontario,Total - gender,90 to 94 years,104267.0
98,2023,Ontario,Total - gender,90 to 94 years,105680.0
99,2024,Ontario,Total - gender,90 to 94 years,106832.0
100,2020,Ontario,Total - gender,95 to 99 years,28120.0
101,2021,Ontario,Total - gender,95 to 99 years,29131.0
102,2022,Ontario,Total - gender,95 to 99 years,30524.0
103,2023,Ontario,Total - gender,95 to 99 years,31439.0
104,2024,Ontario,Total - gender,95 to 99 years,31802.0
105,2020,Ontario,Total - gender,100 years and older,3555.0
106,2021,Ontario,Total - gender,100 years and older,4011.0
107,2022,Ontario,Total - gender,100 years and older,4386.0
108,2023,Ontario,Total - gender,100 years and older,4616.0
109,2024,Ontario,Total - gender,100 years and older,4682.0
110,2020,Ontario,Total - gender,Median age,40.5
111,2021,Ontario,Total - gender,Median age,40.7
112,2022,Ontario,Total - gender,Median age,40.4
113,2023,Ontario,Total - gender,Median age,39.9
114,2024,Ontario,Total - gender,Median age,39.6
